timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651610428.0526018,0,0,0,0,,,,,,,,,,,"[""b'0.00"", '-1.89', '-0.06', '-4.50', '46.22', '-31.95', ""0\\r\\n'""]"
1651610428.058361,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '-0.12', '-1.95', '-0.06', '-4.50', '46.22', '-31.95', ""0\\r\\n'""]"
1651610428.0657172,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.00', '-1.83', '0.12', '-4.50', '46.22', '-31.95', ""0\\r\\n'""]"
1651610428.071386,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '-0.06', '-2.01', '-0.06', '-4.50', '46.22', '-31.95', ""0\\r\\n'""]"
1651610428.0773175,0,0,0,0,,,,,,,,,,,"[""b'0.02"", '0.34', '0.92', '-0.06', '-1.89', '-0.06', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.0831735,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.00', '-1.77', '0.00', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.0889401,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.00', '-1.95', '-0.18', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.094636,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '-0.06', '-1.95', '-0.06', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.1008205,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '0.00', '-2.01', '-0.06', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.1066053,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.06', '-1.77', '0.06', '-3.83', '46.00', '-31.29', ""0\\r\\n'""]"
1651610428.1124694,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '0.06', '-1.77', '0.00', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.118631,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.00', '-2.08', '-0.06', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.1240733,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.00', '-2.01', '0.00', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.130191,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '0.00', '-2.01', '0.00', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.1362147,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '0.06', '-2.08', '0.00', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.1421351,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.06', '-1.89', '0.06', '-4.03', '45.92', '-32.29', ""0\\r\\n'""]"
1651610428.1477041,0,0,0,0,,,,,,,,,,,"[""b'0.02"", '0.34', '0.92', '-0.12', '-2.01', '-0.06', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
1651610428.1540754,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '-0.06', '-2.01', '0.18', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
1651610428.1601806,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '0.12', '-2.01', '0.06', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
1651610428.1659634,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.93', '0.12', '-2.01', '0.06', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
1651610428.1719384,0,0,0,0,,,,,,,,,,,"[""b'0.02"", '0.34', '0.92', '-0.12', '-1.95', '0.12', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
1651610428.17764,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.34', '0.92', '-0.12', '-1.95', '0.12', '-3.88', '45.95', '-33.02', ""0\\r\\n'""]"
