timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651610494.06013,0,0,0,0,,,,,,,,,,,"[""b'8"", ""0\\r\\n'""]"
1651610494.064931,0,0,0,0,,,,,,,,,,,"[""b'-0.17"", '0.22', '0.95', '-38.39', '24.17', '51.94', '-11.65', '28.34', '-25.18', ""0\\r\\n'""]"
1651610494.071303,0,0,0,0,,,,,,,,,,,"[""b'-0.01"", '0.39', '0.80', '-54.75', '25.02', '53.96', '-11.65', '28.34', '-25.18', ""0\\r\\n'""]"
1651610494.0772612,0,0,0,0,,,,,,,,,,,"[""b'0.08"", '0.44', '0.71', '-40.53', '23.93', '53.16', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.0838864,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.39', '0.60', '-28.93', '19.17', '50.54', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.0898325,0,0,0,0,,,,,,,,,,,"[""b'0.01"", '0.50', '0.58', '-28.93', '19.17', '50.54', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.0954409,0,0,0,0,,,,,,,,,,,"[""b'0.01"", '0.58', '0.61', '-47.49', '4.39', '43.03', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.1016128,0,0,0,0,,,,,,,,,,,"[""b'-0.01"", '0.54', '0.60', '-32.59', '-2.20', '40.22', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.1076252,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.54', '0.60', '-34.48', '-7.45', '36.80', '-11.87', '27.82', '-25.40', ""0\\r\\n'""]"
1651610494.1130486,0,0,0,0,,,,,,,,,,,"[""b'-0.01"", '0.45', '0.61', '-29.66', '-11.29', '32.47', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.1193461,0,0,0,0,,,,,,,,,,,"[""b'0.10"", '0.66', '0.48', '15.20', '-24.17', '17.58', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.1248884,0,0,0,0,,,,,,,,,,,"[""b'0.09"", '0.52', '0.24', '15.20', '-24.17', '17.58', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.130744,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.52', '0.35', '26.43', '-36.07', '7.81', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.1373131,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.72', '0.54', '15.75', '-46.51', '-0.92', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.1430595,0,0,0,0,,,,,,,,,,,"[""b'0.04"", '0.64', '0.59', '72.81', '-55.48', '-7.39', '-11.87', '27.49', '-24.93', ""0\\r\\n'""]"
1651610494.148838,0,0,0,0,,,,,,,,,,,"[""b'-0.03"", '0.62', '0.66', '72.81', '-55.48', '-7.39', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.154785,0,0,0,0,,,,,,,,,,,"[""b'-0.13"", '0.67', '0.83', '220.64', '-70.31', '-25.76', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.1605458,0,0,0,0,,,,,,,,,,,"[""b'-0.12"", '0.54', '0.96', '220.64', '-70.31', '-25.76', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.1663415,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.55', '1.35', '240.42', '-48.40', '-50.35', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.172342,0,0,0,0,,,,,,,,,,,"[""b'0.12"", '0.66', '1.63', '240.42', '-48.40', '-50.35', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.1779637,0,0,0,0,,,,,,,,,,,"[""b'0.10"", '0.26', '1.85', '294.31', '-29.42', '-62.87', '-14.12', '29.72', '-24.96', ""0\\r\\n'""]"
1651610494.183856,0,0,0,0,,,,,,,,,,,"[""b'-0.20"", '0.30', '1.96', '302.55', '-5.37', '-68.91', '-14.53', '38.81', '-27.91', ""0\\r\\n'""]"
1651610494.1898053,0,0,0,0,,,,,,,,,,,"[""b'-0.33"", '0.34', '1.82', '355.90', '56.52', '-65.12', '-14.53', '38.81', '-27.91', ""0\\r\\n'""]"
