timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651610166.2502625,0,0,0,0,,,,,,,,,,,"[""b'0.04"", '1.06', '0.32', '46.81', '-3.66', '-14.34', '-19.03', '16.66', '-9.79', ""0\\r\\n'""]"
1651610166.2559512,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.87', '0.51', '49.19', '-6.53', '-13.12', '-19.03', '16.66', '-9.79', ""0\\r\\n'""]"
1651610166.264271,0,0,0,0,,,,,,,,,,,"[""b'-0.04"", '0.78', '0.55', '50.11', '-5.80', '-10.56', '-19.03', '16.66', '-9.79', ""0\\r\\n'""]"
1651610166.2699091,0,0,0,0,,,,,,,,,,,"[""b'-0.04"", '0.82', '0.57', '43.03', '-3.66', '-9.16', '-19.03', '16.66', '-9.79', ""0\\r\\n'""]"
1651610166.2759037,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.78', '0.56', '30.88', '-1.34', '-7.75', '-19.03', '16.66', '-9.79', ""0\\r\\n'""]"
1651610166.2820475,0,0,0,0,,,,,,,,,,,"[""b'-0.10"", '0.73', '0.45', '3.91', '0.49', '-5.68', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.287964,0,0,0,0,,,,,,,,,,,"[""b'-0.13"", '0.82', '0.41', '-17.15', '1.71', '-4.27', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.29389,0,0,0,0,,,,,,,,,,,"[""b'-0.14"", '0.90', '0.46', '-13.55', '2.32', '-3.11', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.3003387,0,0,0,0,,,,,,,,,,,"[""b'-0.13"", '0.89', '0.50', '3.23', '0.00', '-1.71', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.306009,0,0,0,0,,,,,,,,,,,"[""b'-0.16"", '0.87', '0.54', '24.78', '-3.78', '-1.28', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.3118117,0,0,0,0,,,,,,,,,,,"[""b'-0.19"", '0.84', '0.58', '44.37', '-7.02', '-2.14', '-18.84', '16.65', '-10.07', ""0\\r\\n'""]"
1651610166.3178334,0,0,0,0,,,,,,,,,,,"[""b'-0.14"", '0.83', '0.58', '69.09', '-10.74', '-4.58', '-18.84', '17.29', '-10.95', ""0\\r\\n'""]"
1651610166.3235638,0,0,0,0,,,,,,,,,,,"[""b'-0.16"", '0.67', '0.57', '68.60', '-14.89', '-8.54', '-18.84', '17.29', '-10.95', ""0\\r\\n'""]"
1651610166.3298624,0,0,0,0,,,,,,,,,,,"[""b'-0.19"", '0.57', '0.63', '26.06', '-18.01', '-10.99', '-18.84', '17.29', '-10.95', ""0\\r\\n'""]"
1651610166.3359315,0,0,0,0,,,,,,,,,,,"[""b'-0.21"", '0.86', '0.61', '66.83', '-20.32', '-15.26', '-18.84', '17.29', '-10.95', ""0\\r\\n'""]"
