timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651610217.5442016,0,0,0,0,,,,,,,,,,,"[""b'-18.91"", '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.5489025,0,0,0,0,,,,,,,,,,,"[""b'0.06"", '-0.45', '1.28', '-1.34', '-17.70', '2.08', '-18.91', '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.555997,0,0,0,0,,,,,,,,,,,"[""b'-0.03"", '-0.24', '0.90', '-30.27', '-11.35', '5.92', '-18.91', '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.5625637,0,0,0,0,,,,,,,,,,,"[""b'-0.02"", '-0.07', '0.65', '-42.30', '-13.73', '7.93', '-18.91', '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.5686471,0,0,0,0,,,,,,,,,,,"[""b'-0.14"", '-0.16', '1.37', '-46.39', '-19.65', '7.32', '-18.91', '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.574198,0,0,0,0,,,,,,,,,,,"[""b'0.02"", '-1.00', '1.12', '-25.70', '-10.50', '12.70', '-18.91', '44.93', '-28.21', ""0\\r\\n'""]"
1651610217.5800073,0,0,0,0,,,,,,,,,,,"[""b'-0.11"", '-0.25', '0.97', '-53.59', '5.00', '27.28', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.5864086,0,0,0,0,,,,,,,,,,,"[""b'-0.04"", '-0.07', '1.00', '-54.26', '3.36', '30.76', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.5922754,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '-0.12', '1.06', '-32.78', '2.81', '27.95', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.5978382,0,0,0,0,,,,,,,,,,,"[""b'-0.03"", '-0.14', '0.98', '-31.80', '3.78', '25.82', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.6038945,0,0,0,0,,,,,,,,,,,"[""b'0.01"", '-0.12', '0.93', '-40.22', '4.52', '23.50', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.6096911,0,0,0,0,,,,,,,,,,,"[""b'-0.00"", '-0.08', '1.01', '-49.74', '4.15', '21.00', '-18.92', '44.34', '-29.24', ""0\\r\\n'""]"
1651610217.6157215,0,0,0,0,,,,,,,,,,,"[""b'-0.01"", '-0.05', '1.03', '-44.37', '4.33', '14.40', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.6215851,0,0,0,0,,,,,,,,,,,"[""b'-0.01"", '-0.06', '0.99', '-23.62', '4.15', '11.66', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.62756,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '-0.12', '1.00', '-18.07', '4.15', '10.44', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.6337366,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '-0.16', '1.00', '-13.43', '5.07', '10.62', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.639288,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.05', '1.00', '-1.10', '6.10', '9.22', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.645017,0,0,0,0,,,,,,,,,,,"[""b'-0.11"", '-0.00', '1.04', '7.26', '7.32', '7.81', '-18.99', '42.97', '-27.50', ""0\\r\\n'""]"
1651610217.6509902,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '-0.03', '0.99', '10.38', '7.20', '7.20', '-19.20', '42.65', '-27.73', ""0\\r\\n'""]"
1651610217.6567945,0,0,0,0,,,,,,,,,,,"[""b'-0.13"", '-0.05', '0.97', '14.71', '6.16', '6.71', '-19.20', '42.65', '-27.73', ""0\\r\\n'""]"
1651610217.6624243,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.04', '0.97', '18.19', '5.00', '6.77', '-19.20', '42.65', '-27.73', ""0\\r\\n'""]"
1651610217.6685896,0,0,0,0,,,,,,,,,,,"[""b'-0.10"", '-0.03', '1.00', '19.96', '4.15', '6.71', '-19.20', '42.65', '-27.73', ""0\\r\\n'""]"
