timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651609772.844152,0,0,0,0,,,,,,,,,,,"[""b'-1.22"", '-1.71', '-0.92', '-22.29', '33.65', '-19.90', ""0\\r\\n'""]"
1651609772.850247,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-0.92', '-1.77', '-1.04', '-22.29', '33.65', '-19.90', ""0\\r\\n'""]"
1651609772.8574018,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-0.92', '-1.77', '-1.04', '-22.29', '33.65', '-19.90', ""0\\r\\n'""]"
1651609772.8642821,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-0.73', '-1.53', '-0.92', '-22.29', '33.65', '-19.90', ""0\\r\\n'""]"
1651609772.8783355,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.34', '0.92', '-1.46', '-1.46', '-0.98', '-22.29', '33.65', '-19.90', ""0\\r\\n'""]"
1651609772.8888311,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-1.46', '-1.46', '-0.98', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.897002,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-2.08', '-1.46', '-0.85', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.9044003,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-2.38', '-1.40', '-0.79', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.9127302,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-2.56', '-1.28', '-0.73', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.9219148,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-2.69', '-1.34', '-0.61', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.929703,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.34', '0.92', '-3.66', '-1.40', '-0.55', '-22.81', '33.73', '-20.14', ""0\\r\\n'""]"
1651609772.9370792,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.92', '-2.75', '-1.40', '-0.55', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9449017,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.92', '-2.32', '-1.22', '-0.31', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9525735,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-2.20', '-1.28', '-0.37', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9599974,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.92', '-2.20', '-1.28', '-0.37', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9677384,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-1.89', '-1.34', '-0.31', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9753323,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-1.53', '-1.34', '-0.49', '-22.56', '33.52', '-19.01', ""0\\r\\n'""]"
1651609772.9829035,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.91', '-1.59', '-1.22', '-0.55', '-22.30', '33.39', '-19.04', ""0\\r\\n'""]"
1651609772.990535,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.91', '-1.77', '-1.16', '-0.79', '-22.30', '33.39', '-19.04', ""0\\r\\n'""]"
1651609772.997974,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-1.65', '-0.92', '-0.85', '-22.30', '33.39', '-19.04', ""0\\r\\n'""]"
1651609773.0058393,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.36', '0.91', '-1.71', '-0.67', '-0.85', '-22.30', '33.39', '-19.04', ""0\\r\\n'""]"
1651609773.0139341,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.91', '-3.17', '-0.55', '-0.98', '-22.30', '33.39', '-19.04', ""0\\r\\n'""]"
1651609773.0211778,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.91', '-4.88', '-0.24', '-0.73', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.0298245,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.35', '0.91', '-6.77', '-0.12', '-0.55', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.0372624,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.36', '0.92', '-8.30', '-0.12', '-0.24', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.045634,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.35', '0.91', '-10.01', '-0.31', '0.12', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.0529842,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.38', '0.91', '-9.89', '-0.55', '0.37', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.061089,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.37', '0.92', '-10.31', '-0.79', '0.67', '-22.84', '33.13', '-19.19', ""0\\r\\n'""]"
1651609773.0686276,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.38', '0.92', '-10.74', '-1.16', '1.04', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.076065,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.37', '0.91', '-8.97', '-1.34', '1.28', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.0837498,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.36', '0.92', '-9.28', '-2.08', '1.28', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.09127,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.37', '0.91', '-8.79', '-2.62', '1.40', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.09875,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.37', '0.91', '-7.08', '-2.93', '1.22', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.1063488,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.38', '0.91', '-4.52', '-3.23', '0.92', '-22.02', '33.11', '-19.54', ""0\\r\\n'""]"
1651609773.11417,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.38', '0.91', '-1.95', '-3.23', '0.92', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.1214075,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.38', '0.91', '0.79', '-3.23', '0.55', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.130576,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.38', '0.91', '3.78', '-2.87', '0.18', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.1402152,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.37', '0.90', '5.98', '-2.69', '-0.31', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.1521485,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.38', '0.90', '8.42', '-2.44', '-0.55', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.1614718,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.38', '0.91', '11.90', '-2.08', '-0.67', '-22.06', '33.19', '-18.77', ""0\\r\\n'""]"
1651609773.1692197,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.36', '0.91', '13.06', '-1.71', '-0.98', '-22.25', '33.47', '-20.84', ""0\\r\\n'""]"
1651609773.1762204,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.35', '0.91', '10.56', '-1.77', '-1.22', '-22.25', '33.47', '-20.84', ""0\\r\\n'""]"
1651609773.1828532,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.36', '0.91', '10.19', '-1.89', '-1.46', '-22.25', '33.47', '-20.84', ""0\\r\\n'""]"
1651609773.1898723,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.36', '0.91', '11.96', '-1.71', '-1.89', '-22.25', '33.47', '-20.84', ""0\\r\\n'""]"
1651609773.197048,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.36', '0.91', '12.57', '-1.71', '-2.14', '-22.25', '33.47', '-20.84', ""0\\r\\n'""]"
1651609773.2041483,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.34', '0.91', '12.57', '-1.71', '-2.14', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2098043,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '8.85', '-1.59', '-2.38', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2157278,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.91', '7.57', '-1.77', '-2.44', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2216182,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.34', '0.92', '5.37', '-1.77', '-2.20', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2275252,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.35', '0.92', '4.15', '-1.77', '-2.08', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2333236,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.35', '0.92', '4.58', '-1.83', '-1.83', '-22.74', '33.62', '-19.52', ""0\\r\\n'""]"
1651609773.2396064,0,0,0,0,,,,,,,,,,,"[""b'-0.04"", '0.35', '0.92', '5.25', '-1.83', '-1.71', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.2469654,0,0,0,0,,,,,,,,,,,"[""b'-0.04"", '0.35', '0.92', '5.25', '-2.26', '-1.46', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.2543774,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.34', '0.93', '4.82', '-2.69', '-1.16', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.261564,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.35', '0.93', '4.46', '-2.93', '-0.98', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.2687228,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.34', '0.92', '2.56', '-3.23', '-0.73', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.275703,0,0,0,0,,,,,,,,,,,"[""b'-0.05"", '0.34', '0.92', '0.49', '-3.78', '-0.61', '-22.27', '33.67', '-20.58', ""0\\r\\n'""]"
1651609773.2828026,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '0.31', '-4.09', '-0.43', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.2898862,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.31', '0.92', '-1.95', '-4.15', '-0.43', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.296667,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.34', '0.92', '-2.20', '-4.09', '-0.31', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.3036592,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.34', '0.92', '-4.64', '-3.91', '0.31', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.3104255,0,0,0,0,,,,,,,,,,,"[""b'-0.06"", '0.35', '0.92', '-5.00', '-3.54', '0.79', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.317342,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.35', '0.92', '-6.04', '-3.05', '1.16', '-22.14', '33.81', '-19.52', ""0\\r\\n'""]"
1651609773.3243783,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.34', '0.91', '-6.77', '-2.44', '1.89', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3312542,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.35', '0.91', '-7.02', '-2.08', '2.50', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3381557,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.35', '0.91', '-7.02', '-2.08', '2.50', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3449087,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.36', '0.91', '-7.32', '-1.65', '3.42', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3516905,0,0,0,0,,,,,,,,,,,"[""b'-0.08"", '0.35', '0.91', '-7.32', '-1.65', '3.42', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3587542,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.34', '0.92', '-8.79', '-1.46', '3.97', '-22.58', '34.07', '-19.71', ""0\\r\\n'""]"
1651609773.3657691,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.36', '0.91', '-8.79', '-1.46', '3.97', '-22.66', '34.03', '-19.59', ""0\\r\\n'""]"
1651609773.3729236,0,0,0,0,,,,,,,,,,,"[""b'-0.07"", '0.35', '0.91', '-5.13', '-1.53', '2.93', '-22.66', '34.03', '-19.59', ""0\\r\\n'""]"
1651609773.3799858,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.07', '1.00', '-4.46', '-1.65', '1.77', '-23.08', '46.63', '-24.55', ""0\\r\\n'""]"
1651609773.387589,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.07', '1.00', '-3.60', '-1.83', '1.83', '-23.08', '46.63', '-24.55', ""0\\r\\n'""]"
1651609773.393588,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.07', '1.00', '-3.17', '-2.08', '1.65', '-23.08', '46.63', '-24.55', ""0\\r\\n'""]"
1651609773.399417,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.07', '0.99', '-3.17', '-2.08', '1.65', '-23.08', '46.63', '-24.55', ""0\\r\\n'""]"
1651609773.4052706,0,0,0,0,,,,,,,,,,,"[""b'-0.10"", '-0.07', '1.00', '-1.77', '-2.69', '1.46', '-23.08', '46.63', '-24.55', ""0\\r\\n'""]"
1651609773.4122064,0,0,0,0,,,,,,,,,,,"[""b'-0.09"", '-0.07', '1.00', '-1.77', '-2.69', '1.46', '-23.56', '46.97', '-23.51', ""0\\r\\n'""]"
1651609773.4210098,0,0,0,0,,,,,,,,,,,"[""b'-0.10"", '-0.07', '1.00', '0.31', '-3.11', '0.79', '-23.56', '46.97', '-23.51', ""0\\r\\n'""]"
1651609773.429873,0,0,0,0,,,,,,,,,,,"[""b'-0.10"", '-0.08', '1.00', '1.34', '-3.23', '0.24', '-23.56', '46.97', '-23.51', ""0\\r\\n'""]"
